seq_id,sq_ft_raw,total_bedrooms,median_price_usd,ocean_proximity
100155,1427.3,99,617762.93,ISLAND
100156,2011.6,1,394547.64,inland
100157,1224.0,3,588266.66,ISLAND
100158,1423.8,5,367689.41,<1H OCEAN
100159,2018.5,1,638288.0,inland
100160,1416.3,2,797570.93,inland
100161,2016.5,1,779000.99,
100162,2106.0,3,538227.35,
100163,1954.6,2,267784.33,NEAR BAY
100164,2168.9,2,462672.59,island
100165,1382.7,2,360131.37,<1H OCEAN
100166,1812.7,5,398509.45,island
100167,2079.5,3,261605.76,
100168,1412.4,5,586678.86,NEAR BAY
100169,1682.7,3,285787.66,
100170,1006.6,3,592598.96,
100171,1805.1,3,471322.56,NEAR BAY
100172,1379.6,5,616301.73,INLAND
100173,1681.7,99,542712.13,
100174,1909.2,3,498132.32,<1H OCEAN
100175,1448.6,3,338391.56,NEAR BAY
100176,2139.9,3,344784.05,
100177,313.6,,675036.12,NEAR OCEAN
100178,1327.3,5,340432.91,ISLAND
100179,1965.2,3,873908.18,ISLAND
100180,1609.0,1,283469.29,NEAR OCEAN
100181,1046.9,3,404815.34,ISLAND
100182,931.2,,539295.05,inland
100183,1934.1,,465584.15,
100184,3078.0,2,332934.95,
100185,1705.9,1,319991.75,NEAR OCEAN
100186,1847.3,5,637062.39,INLAND
100187,2809.7,,355218.04,NEAR OCEAN
100188,1193.4,99,368140.62,inland
100189,1305.9,1,376391.41,INLAND
100190,2149.0,2,342695.78,NEAR OCEAN
100191,2267.0,5,392501.41,INLAND
100192,2218.7,3,311851.25,
100193,1444.7,99,540229.19,<1H OCEAN
100194,765.6,3,421189.56,
100195,1600.4,2,484498.19,NEAR BAY
100196,1989.1,,623342.33,
100197,1334.7,,813727.61,
100198,2138.1,99,535212.8,ISLAND
100199,1529.4,1,317686.27,
100200,1934.5,3,639668.59,NEAR OCEAN
100201,615.4,,403944.59,inland
100202,2141.1,1,558295.39,inland
100203,2468.9,99,492312.3,NEAR OCEAN
100204,1352.6,4,215539.45,<1H OCEAN
100205,1918.8,99,347739.43,island
100206,2114.6,99,166530.49,INLAND
100207,1049.2,5,39527.03,NEAR OCEAN
100208,2615.5,,454699.2,NEAR BAY
100209,2321.3,,641180.96,ISLAND
100210,1679.1,2,593424.81,inland
100211,1279.5,3,429342.07,inland
100212,1972.5,3,401064.31,ISLAND
100213,2013.7,,313612.37,inland
100214,3489.5,5,343938.89,NEAR OCEAN
100215,1441.2,4,697339.68,NEAR OCEAN
100216,1626.5,4,508880.14,NEAR OCEAN
100217,763.6,3,452093.94,NEAR OCEAN
100218,1352.9,3,344022.66,island
100219,1584.3,3,478499.62,inland
100220,1949.1,99,432571.96,NEAR OCEAN
100221,1384.5,1,703482.87,
100222,1785.4,2,612449.64,
100223,1018.7,5,524528.55,island
100224,2592.2,3,499227.87,NEAR BAY
100225,,4,421904.11,NEAR OCEAN
100226,2429.0,3,194937.86,ISLAND
100227,1346.5,2,498510.85,
100228,2023.9,5,251632.45,NEAR BAY
100229,1655.0,99,636073.77,island
100230,1627.9,3,559635.39,inland
100231,1640.2,5,365543.68,INLAND
100232,2056.8,5,546929.24,ISLAND
100233,1920.8,3,560924.64,NEAR OCEAN
100234,1894.8,,468724.25,NEAR OCEAN
100235,2076.6,,219519.97,island
100236,1774.3,1,710027.44,inland
100237,2016.6,4,304250.11,<1H OCEAN
100238,2337.7,2,207074.66,
100239,520.4,4,465680.77,NEAR BAY
100240,1953.7,3,191411.51,inland
100241,1558.1,4,329669.36,
100242,2056.3,3,475305.44,ISLAND
100243,2104.8,3,583592.78,INLAND
100244,1854.7,3,548493.19,island
100245,1854.7,2,373931.23,
100246,1243.8,99,501251.81,
100247,1538.8,5,451372.39,ISLAND
100248,2796.7,1,735968.67,NEAR BAY
100249,2412.5,4,487002.56,<1H OCEAN
100250,1464.2,3,629000.24,
100251,2016.2,1,650731.22,ISLAND
100252,2315.7,1,488204.49,island
100253,1658.4,99,401751.75,
100254,299.1,5,520256.85,ISLAND
100255,1247.1,5,381225.8,
100256,1468.2,3,287805.73,INLAND
100257,2829.8,1,514628.12,inland
100258,1047.5,4,372501.66,ISLAND
100259,504.8,3,204953.75,INLAND
100260,2109.2,2,489983.18,
100261,1895.9,5,639152.17,<1H OCEAN
100262,1716.6,2,404158.25,
100263,1854.0,3,335963.0,NEAR OCEAN
100264,1476.1,5,420314.17,INLAND
100265,525.1,3,749531.21,NEAR OCEAN
100266,989.2,3,523338.75,NEAR OCEAN
100267,2285.9,3,355660.84,NEAR OCEAN
100268,2168.5,3,656866.98,<1H OCEAN
100269,1265.9,3,573871.42,
100270,1725.2,4,268649.59,inland
100271,,99,539670.39,inland
100272,1847.2,5,680407.17,inland
100273,2243.4,99,439182.83,ISLAND
100274,2732.6,3,614819.2,inland
100275,2838.3,99,599690.55,ISLAND
100276,1477.1,3,511102.78,island
100277,1827.0,3,591730.54,ISLAND
100278,1900.0,2,317877.26,island
100279,2877.4,5,360887.81,island
100280,2612.4,3,393794.98,NEAR OCEAN
100281,1507.3,1,395805.46,NEAR OCEAN
100282,1899.6,5,533222.01,INLAND
100283,2032.7,1,638620.11,NEAR BAY
100284,2012.1,2,488222.02,ISLAND
100285,2108.5,4,120366.46,INLAND
100286,1705.7,,271047.46,island
100287,-999.0,2,335226.0,<1H OCEAN
100288,1709.9,3,566905.37,<1H OCEAN
100289,1033.4,99,279031.23,NEAR BAY
100290,2059.7,,370920.87,island
100291,1428.2,2,251546.5,NEAR BAY
100292,1254.7,3,414835.1,ISLAND
100293,1173.3,1,431319.77,NEAR OCEAN
100294,2005.0,3,470842.13,
100295,1518.6,2,702336.51,
100296,2441.0,4,286686.23,ISLAND
100297,1465.2,1,736583.02,island
100298,2229.2,3,435378.98,inland
100299,1592.7,5,502454.66,INLAND
100300,,1,406306.39,NEAR BAY
100301,2134.5,1,624883.45,ISLAND
100302,1498.9,3,346343.17,<1H OCEAN
100303,1146.8,,535315.05,island
100304,2369.0,3,712522.88,NEAR BAY
100305,230.3,,305835.28,NEAR BAY
100306,699.6,2,237170.78,island
100307,1769.7,3,332940.16,INLAND
100308,,2,531699.62,ISLAND
100309,2623.5,3,601936.68,NEAR BAY
100310,2236.6,2,319022.41,<1H OCEAN
100311,1705.7,99,286239.38,island
100312,2372.8,3,770847.95,INLAND
100313,1850.6,3,476617.1,
100314,970.8,2,277977.33,INLAND
100315,1973.7,3,327761.97,
100316,1671.1,3,406221.81,island
100317,1243.3,5,390499.57,inland
100318,1679.2,3,390902.12,NEAR OCEAN
100319,2155.3,1,471567.68,ISLAND
100320,821.5,99,430652.97,island
100321,2476.9,4,598578.56,island
100322,2048.1,99,370664.98,NEAR OCEAN
100323,2648.0,4,400789.29,NEAR BAY
100324,1932.6,4,576980.13,NEAR OCEAN
100325,2234.1,5,516164.0,INLAND
100326,2738.6,1,437515.34,ISLAND
100327,2320.6,,544830.57,ISLAND
100328,1424.7,1,492294.56,
100329,,,399526.22,<1H OCEAN
100330,,3,413406.9,inland
100331,2926.8,1,274726.74,NEAR BAY
100332,1541.2,5,228974.81,NEAR BAY
100333,1897.8,4,573823.86,INLAND
100334,943.0,3,790380.93,
100335,1925.0,1,495994.75,inland
100336,1800.7,,702110.77,inland
100337,-999.0,5,398475.99,NEAR OCEAN
100338,1976.2,99,669855.4,NEAR OCEAN
100339,1681.9,99,733748.24,INLAND
100340,1118.9,1,657751.14,NEAR BAY
100341,1965.2,2,564062.29,NEAR OCEAN
100342,1940.7,3,165615.44,island
100343,957.6,,128030.41,inland
100344,1302.9,,613684.91,INLAND
100345,2609.5,,506555.12,island
100346,1565.8,3,463380.68,NEAR BAY
100347,1853.4,4,415964.82,
100348,1854.3,4,229673.02,inland
100349,1566.7,,418865.06,NEAR BAY
100350,2039.7,99,641823.89,NEAR OCEAN
100351,413.3,2,591610.5,<1H OCEAN
100352,,3,276800.28,INLAND
100353,2341.7,99,471538.92,ISLAND
100354,2838.7,3,343602.27,NEAR BAY
100355,2014.8,5,363408.93,NEAR OCEAN
100356,1677.4,3,419919.66,island
100357,1294.6,99,407485.74,INLAND
100358,1985.1,1,317504.39,NEAR OCEAN
100359,2414.5,99,467665.02,NEAR BAY
100360,2368.6,99,620823.8,NEAR OCEAN
100361,1106.7,99,594921.81,
100362,2338.1,3,555946.32,<1H OCEAN
100363,1899.3,3,181351.47,INLAND
100364,2379.5,3,412833.0,
100365,1873.3,2,394237.66,
100366,2096.6,,541829.66,inland
100367,2633.8,4,212241.37,NEAR BAY
100368,2415.4,99,550025.62,<1H OCEAN
100369,828.3,2,308749.91,NEAR BAY
100370,2516.8,99,596020.82,island
100371,2158.5,,403242.11,NEAR OCEAN
100372,1683.2,3,282656.68,island
100373,1388.9,5,638804.5,<1H OCEAN
100374,2059.4,5,254715.06,NEAR BAY
100375,1900.2,5,570799.44,island
100376,2602.3,4,510259.04,NEAR OCEAN
100377,2239.8,4,190124.95,
100378,833.0,5,591061.83,inland
100379,673.2,3,682515.53,<1H OCEAN
100380,1468.1,99,425675.28,INLAND
100381,983.3,3,240354.4,
100382,795.4,5,450708.79,NEAR OCEAN
100383,1063.6,4,478313.25,
100384,1408.4,,520137.48,ISLAND
100385,1768.2,3,314972.19,island
100386,1703.4,2,268519.42,
100387,1412.0,5,171914.18,<1H OCEAN
100388,1220.5,3,531478.0,<1H OCEAN
100389,1236.0,,627083.22,NEAR BAY
100390,1436.9,5,443571.1,<1H OCEAN
100391,1054.3,1,476287.69,NEAR BAY
100392,914.1,2,530331.85,INLAND
100393,,3,711243.93,NEAR OCEAN
100394,414.2,5,624021.02,<1H OCEAN
100395,2464.1,5,573748.44,INLAND
100396,848.6,3,377535.52,NEAR BAY
100397,2704.9,99,519468.59,ISLAND
100398,2771.0,5,247429.41,NEAR BAY
100399,1750.8,1,390386.64,inland
100400,992.2,,629042.4,NEAR OCEAN
100401,2256.7,5,628226.28,NEAR BAY
100402,946.7,5,274587.46,INLAND
100403,2808.9,1,296603.82,NEAR BAY
100404,832.8,1,565570.85,island
100405,1206.0,,782214.66,NEAR OCEAN
100406,1839.1,4,438843.51,island
100407,2904.9,99,578177.36,NEAR BAY
100408,1664.6,4,350646.33,inland
100409,2053.6,1,726967.13,<1H OCEAN
100410,3062.5,3,141524.33,INLAND
100411,2456.1,4,273837.76,NEAR BAY
100412,2013.0,1,275321.95,<1H OCEAN
100413,1442.1,1,366227.47,NEAR OCEAN
100414,1643.2,4,623409.01,inland
100415,1072.1,5,141852.78,ISLAND
100416,1503.0,4,473750.51,island
100417,1719.6,2,511008.25,NEAR OCEAN
100418,819.9,1,555642.99,INLAND
100419,3192.1,99,216848.95,NEAR BAY
100420,2147.8,4,461299.17,NEAR OCEAN
100421,1146.0,1,397379.18,inland
100422,1595.5,,544532.63,ISLAND
100423,1726.2,3,784315.84,INLAND
100424,1543.9,3,612472.01,inland
100425,1292.2,4,452778.01,<1H OCEAN
100426,1578.1,4,534571.58,NEAR OCEAN
100427,2044.8,2,610333.87,NEAR OCEAN
100428,2051.6,3,524534.08,
100429,,99,536853.36,NEAR OCEAN
100430,2284.7,3,508971.19,
100431,2329.8,3,421004.24,NEAR BAY
100432,2256.3,1,574914.64,island
100433,1913.2,1,365755.22,island
100434,1853.6,1,528733.1,<1H OCEAN
100435,,5,470259.89,island
100436,1366.8,5,574579.18,<1H OCEAN
100437,,99,321526.29,<1H OCEAN
100438,1878.8,5,635472.32,<1H OCEAN
100439,,99,485189.01,NEAR BAY
100440,2452.5,99,481412.17,NEAR BAY
100441,2034.3,1,442799.73,INLAND
100442,1121.9,3,647546.13,NEAR OCEAN
100443,2541.6,4,439110.14,
100444,737.1,2,433376.15,NEAR OCEAN
100445,1811.0,3,565052.36,NEAR OCEAN
100446,897.5,3,483890.54,island
100447,,5,588564.53,NEAR OCEAN
100448,2999.0,1,339169.3,
100449,1544.0,3,427201.43,ISLAND
100450,1890.3,5,731650.27,
100451,2559.2,4,443831.62,ISLAND
100452,1669.8,5,329705.91,island
100453,,2,624746.37,inland
100454,2351.4,2,525965.15,island
100455,2358.8,,443636.7,island
100456,2564.2,1,597871.5,NEAR OCEAN
100457,1413.4,3,246742.09,INLAND
100458,2131.9,1,241772.78,ISLAND
100459,1848.7,1,248405.75,NEAR BAY
100460,2358.0,3,581975.31,NEAR BAY
100461,889.3,,403841.98,<1H OCEAN
100462,3231.2,,383410.12,ISLAND
100463,-999.0,2,550002.08,
100464,1794.6,1,365080.48,NEAR BAY
100465,-999.0,1,630297.31,NEAR BAY
100466,1882.7,,257222.79,<1H OCEAN
100467,,2,504639.84,<1H OCEAN
100468,,2,262381.77,ISLAND
100469,2466.0,99,499676.78,
100470,2432.3,,716692.24,inland
100471,1859.8,2,731844.24,island
100472,1376.4,3,481349.7,NEAR OCEAN
100473,1832.7,2,635502.58,NEAR BAY
100474,1188.7,2,387393.93,INLAND
100475,1762.9,5,403997.11,ISLAND
100476,1295.8,4,466873.24,NEAR OCEAN
100477,1893.0,2,363472.21,NEAR BAY
100478,2202.6,99,293548.14,NEAR OCEAN
100479,3094.9,4,554160.15,ISLAND
100480,1316.7,3,427021.99,<1H OCEAN
100481,2657.4,2,417623.42,ISLAND
100482,1480.4,4,533595.99,island
100483,1732.2,2,220842.57,ISLAND
100484,1818.0,5,386114.71,NEAR OCEAN
100485,1502.0,5,478092.41,NEAR OCEAN
100486,1797.0,3,322288.27,INLAND
100487,1628.1,3,541905.8,inland
100488,216.3,,478653.93,
100489,1900.3,4,420696.82,INLAND
100490,1858.4,3,414469.94,ISLAND
100491,1838.1,,509031.98,<1H OCEAN
100492,1908.7,5,693968.41,island
100493,1870.8,4,358331.12,NEAR OCEAN
100494,2692.3,99,357969.21,NEAR OCEAN
100495,2005.5,2,352804.2,<1H OCEAN
100496,1425.4,3,575721.06,ISLAND
100497,1684.4,,939900.3,ISLAND
100498,2927.1,2,449732.32,
100499,1488.3,99,628400.75,island
100500,1741.0,5,688619.43,ISLAND
100501,1364.6,2,651264.97,
100502,1573.7,99,161345.41,NEAR OCEAN
100503,1722.7,3,261165.54,inland
100504,,,521125.43,NEAR OCEAN
100505,1754.9,4,526630.61,inland
100506,1748.6,4,677803.19,island
100507,2119.3,3,676711.33,island
100508,2350.9,5,509680.97,ISLAND
100509,,,385298.64,NEAR OCEAN
100510,1392.6,2,640068.78,
100511,2360.3,2,285786.33,<1H OCEAN
100512,1669.6,4,484799.38,NEAR OCEAN
100513,2691.4,3,420114.11,NEAR OCEAN
100514,1074.3,1,602744.67,<1H OCEAN
100515,1773.4,2,544913.2,ISLAND
100516,1783.2,3,382765.08,ISLAND
100517,1396.1,,645730.74,island
100518,,3,380984.41,island
100519,1805.8,3,664718.56,INLAND
100520,2155.6,1,688496.98,<1H OCEAN
100521,2325.9,99,493109.61,
100522,1389.5,99,464287.43,<1H OCEAN
100523,1038.9,,515111.84,inland
100524,1567.8,1,429528.07,NEAR OCEAN
100525,1343.4,5,677350.02,INLAND
100526,798.5,5,480603.41,INLAND
100527,,3,239645.73,
100528,-999.0,3,487220.46,<1H OCEAN
100529,1002.9,,477877.98,INLAND
100530,1887.4,3,519236.18,island
100531,2094.1,2,281429.33,NEAR BAY
100532,1647.2,2,464335.49,NEAR OCEAN
100533,1758.2,5,485986.06,<1H OCEAN
100534,,4,389206.43,ISLAND
100535,1363.3,3,596494.67,island
100536,2753.1,,246296.42,inland
100537,1188.5,99,717364.4,inland
100538,1934.6,2,457507.84,inland
100539,2967.7,3,492662.16,INLAND
100540,1907.5,3,439222.57,<1H OCEAN
100541,1836.4,4,518407.62,NEAR BAY
100542,1581.6,3,340751.26,NEAR OCEAN
100543,1567.3,1,427324.5,island
100544,2070.9,1,406209.26,ISLAND
100545,2195.3,,308698.41,island
100546,1884.9,3,485767.21,inland
100547,2998.4,2,477834.4,INLAND
100548,1802.2,99,224598.83,ISLAND
100549,2291.2,,497153.88,
100550,1558.5,2,617962.94,
100551,2579.8,2,583833.7,
100552,2399.5,4,615780.65,<1H OCEAN
100553,2772.7,99,579861.0,<1H OCEAN
100554,2627.4,,465177.22,inland
100555,647.8,99,409790.47,INLAND
100556,1832.2,3,613746.28,INLAND
100557,2064.8,99,239437.07,NEAR BAY
100558,1630.8,3,557284.12,NEAR BAY
100559,2102.4,99,433187.87,NEAR OCEAN
100560,2023.5,99,380345.99,ISLAND
100561,1280.0,,389729.38,ISLAND
100562,1240.5,4,613666.4,island
100563,-999.0,,415933.63,INLAND
100564,1494.7,5,499059.07,island
100565,2530.8,5,366398.73,island
100566,1544.8,1,263673.56,<1H OCEAN
100567,2296.7,,358070.29,<1H OCEAN
100568,1562.3,3,441560.08,<1H OCEAN
100569,2352.8,3,255610.08,INLAND
100570,1926.8,99,345588.38,<1H OCEAN
100571,1999.5,5,406048.95,
100572,1909.3,99,416300.28,ISLAND
100573,1265.5,1,464386.96,NEAR OCEAN
100574,2844.5,3,609488.89,ISLAND
100575,1031.9,1,424662.65,ISLAND
100576,1441.4,2,595172.05,
100577,830.9,99,520471.32,NEAR OCEAN
100578,2023.3,5,539398.29,island
100579,2111.4,5,481560.01,island
100580,-999.0,3,573376.88,island
100581,2984.7,1,794517.69,NEAR OCEAN
100582,2744.9,99,475197.21,<1H OCEAN
100583,1613.4,1,689431.9,INLAND
100584,1285.9,1,624055.15,<1H OCEAN
100585,1210.4,3,307849.68,NEAR OCEAN
100586,2144.7,3,630050.94,
100587,844.7,99,348102.63,<1H OCEAN
100588,1981.8,1,436440.16,inland
100589,793.3,5,295687.7,inland
100590,1250.4,3,612436.81,
100591,2468.1,3,509305.22,island
100592,1615.5,4,640676.08,island
100593,1678.9,,243391.98,ISLAND
100594,2053.9,4,387203.37,
100595,2120.1,5,687686.62,island
100596,-999.0,99,700851.26,<1H OCEAN
100597,1760.4,2,185394.66,ISLAND
100598,1341.6,2,663992.75,NEAR OCEAN
100599,1211.3,1,415450.81,<1H OCEAN
100600,2537.2,3,393108.74,NEAR BAY
100601,2119.5,3,422946.69,inland
100602,1935.0,5,481778.14,NEAR BAY
100603,1632.9,1,472921.11,NEAR OCEAN
100604,2404.3,3,453574.89,ISLAND
100605,1349.8,3,383107.87,<1H OCEAN
100606,1625.2,3,653405.75,NEAR OCEAN
100607,2587.9,1,323100.12,island
100608,1985.2,3,521657.36,NEAR BAY
100609,1709.6,2,321940.86,inland
100610,1861.0,1,299557.28,NEAR OCEAN
100611,2337.8,99,210793.37,INLAND
100612,3268.7,99,546093.95,
100613,1998.9,3,726804.98,NEAR OCEAN
100614,1394.7,,449176.76,ISLAND
100615,2079.6,,648308.67,NEAR BAY
100616,,3,284443.4,NEAR OCEAN
100617,758.7,1,534857.5,INLAND
100618,2674.1,5,369840.64,NEAR OCEAN
100619,2215.4,2,388472.79,NEAR BAY
100620,1660.9,99,250221.59,ISLAND
100621,1875.0,3,276294.68,ISLAND
100622,2500.4,3,420158.25,inland
100623,1356.0,2,243894.33,<1H OCEAN
100624,1271.7,99,618864.99,island
100625,1980.0,3,634755.8,island
100626,1111.5,1,534844.6,NEAR OCEAN
100627,2381.6,5,277831.23,inland
100628,1003.4,3,579956.89,island
100629,1709.8,,456852.98,NEAR OCEAN
100630,1689.0,3,228993.18,inland
100631,2836.2,,493125.14,ISLAND
100632,-999.0,2,313153.8,island
100633,1683.8,4,270151.09,NEAR BAY
100634,2047.7,3,410287.36,ISLAND
100635,1592.2,4,616300.29,ISLAND
100636,2205.9,,226963.37,
100637,,,355998.71,inland
100638,2078.6,5,363077.89,
100639,1962.8,1,407587.13,<1H OCEAN
100640,989.1,3,457019.54,ISLAND
100641,2817.8,99,755048.86,NEAR BAY
100642,-999.0,1,422756.67,ISLAND
100643,1860.0,5,327308.51,island
100644,2156.7,,552461.66,NEAR BAY
100645,1365.2,5,645126.61,NEAR BAY
100646,1850.7,,686789.61,ISLAND
100647,2402.2,3,760865.69,island
100648,1667.0,4,436297.71,island
100649,2059.6,2,357548.07,NEAR OCEAN
100650,2109.5,99,523221.82,island
100651,2409.2,,647258.44,island
100652,1182.4,4,375100.25,<1H OCEAN
100653,1569.4,2,157579.15,INLAND
100654,1997.5,2,540024.29,NEAR BAY
100655,1198.8,1,541106.5,NEAR BAY
100656,1467.2,4,605091.34,NEAR BAY
100657,2129.8,5,500548.16,island
100658,1122.1,1,604621.32,inland
100659,2853.5,3,280913.44,NEAR OCEAN
100660,2182.8,,438112.3,<1H OCEAN
100661,-999.0,5,493742.53,inland
100662,3009.6,3,652704.5,NEAR BAY
100663,2324.4,1,469676.28,NEAR BAY
100664,1667.4,,615274.48,island
100665,2014.4,99,123593.07,NEAR OCEAN
100666,1757.4,,441330.9,
100667,1553.7,5,533405.56,island
100668,1480.6,,454812.05,INLAND
100669,1189.8,2,175850.8,<1H OCEAN
100670,1665.2,99,530648.91,INLAND
100671,,4,332522.98,island
100672,,3,286103.37,island
100673,,1,465679.12,NEAR OCEAN
100674,2248.6,3,486311.4,
100675,2385.1,,188797.08,INLAND
100676,1992.5,3,174437.33,
100677,2400.3,2,256043.33,
100678,1122.0,5,500557.79,<1H OCEAN
100679,2793.2,,514038.44,ISLAND
100680,2668.4,99,483008.66,inland
100681,1789.5,1,568709.46,ISLAND
100682,1090.2,99,652169.08,island
100683,2112.5,,383516.59,island
100684,1208.1,1,461973.54,ISLAND
100685,1193.2,1,94981.4,ISLAND
100686,2028.9,2,359664.86,ISLAND
