session_id,user_id,raw_clickstream_json,order_amount,currency,country_raw
SESS_10041,U_1127,"{""device"": ""iOS"", ""pages_viewed"": 10, ""cart_actions"": 8}",218.06,,United States
SESS_10042,U_1123,"{""device"": null, ""pages_viewed"": 8, ""cart_actions"": 3}",342.66,USD,United States
SESS_10043,U_1111,"{""device"": ""iOS"", ""pages_viewed"": 6, ""cart_actions"": 5}",348.34,EUR,DE
SESS_10044,U_1170,"{""device"": ""Web_Safari"", ""pages_viewed"": 22, ""cart_actions"": 1}",416.39,,United States
SESS_10045,U_1177,"{""device"": ""Desktop"", ""pages_viewed"": 8, ""cart_actions"": 1}",179.0,JPY,
SESS_10046,U_1111,"{""device"": ""Android"", ""pages_viewed"": 8, ""cart_actions"": 4}",53.14,USD,UK
SESS_10047,U_1189,"{""device"": null, ""pages_viewed"": 7, ""cart_actions"": 1}",70.43,GBP,United Kingdom
SESS_10048,U_1147,"{""device"": ""iOS"", ""pages_viewed"": 10, ""cart_actions"": 0}",97.59,JPY,United Kingdom
SESS_10049,U_1081,"{""device"": ""Desktop"", ""pages_viewed"": 22, ""cart_actions"": 2}",276.7,EUR,United States
SESS_10050,U_1101,"{""device"": ""iOS"", ""pages_viewed"": 18, ""cart_actions"": 7}",370.02,EUR,Germany
SESS_10051,U_1127,"{""device"": ""Web_Safari"", ""pages_viewed"": 5, ""cart_actions"": 4}",304.43,USD,UK
SESS_10052,U_1079,"{""device"": null, ""pages_viewed"": 23, ""cart_actions"": 1}",383.74,,Germany
SESS_10053,U_1126,"{""device"": ""Desktop"", ""pages_viewed"": 23, ""cart_actions"": 6}",,GBP,US
SESS_10054,U_1183,"{""device"": ""Android"", ""pages_viewed"": 24, ""cart_actions"": 3}",37.87,USD,Japan
SESS_10055,U_1186,"{""device"": ""Web_Safari"", ""pages_viewed"": 10, ""cart_actions"": 2}",253.36,GBP,United Kingdom
SESS_10056,U_1173,"{""device"": ""Web_Safari"", ""pages_viewed"": 12, ""cart_actions"": 6}",244.61,EUR,DE
SESS_10057,U_1178,"{""device"": ""Android"", ""pages_viewed"": 23, ""cart_actions"": 8}",71.94,USD,DE
SESS_10058,U_1117,"{""device"": ""Android"", ""pages_viewed"": 19, ""cart_actions"": 2}",224.86,USD,Germany
SESS_10059,U_1055,"{""device"": ""Android"", ""pages_viewed"": 24, ""cart_actions"": 0}",387.42,USD,US
SESS_10060,U_1096,"{""device"": ""Web_Safari"", ""pages_viewed"": 22, ""cart_actions"": 2}",56.78,,US
SESS_10061,U_1013,"{""device"": ""iOS"", ""pages_viewed"": 17, ""cart_actions"": 5}",436.83,JPY,Germany
SESS_10062,U_1008,"{""device"": ""iOS"", ""pages_viewed"": 8, ""cart_actions"": 6}",314.27,USD,United Kingdom
SESS_10063,U_1198,"{""device"": ""iOS"", ""pages_viewed"": 25, ""cart_actions"": 7}",297.89,EUR,Japan
SESS_10064,U_1094,"{""device"": ""iOS"", ""pages_viewed"": 4, ""cart_actions"": 1}",,,
SESS_10065,U_1057,"{""device"": ""iOS"", ""pages_viewed"": 19, ""cart_actions"": 7}",339.23,USD,United Kingdom
SESS_10066,U_1123,"{""device"": ""Web_Safari"", ""pages_viewed"": 10, ""cart_actions"": 2}",,USD,
SESS_10067,U_1047,"{""device"": ""Web_Safari"", ""pages_viewed"": 23, ""cart_actions"": 0}",370.6,,United States
SESS_10068,U_1132,"{""device"": null, ""pages_viewed"": 18, ""cart_actions"": 1}",105.25,USD,US
SESS_10069,U_1153,"{""device"": ""Android"", ""pages_viewed"": 1, ""cart_actions"": 8}",151.72,USD,US
SESS_10070,U_1147,"{""device"": ""Android"", ""pages_viewed"": 21, ""cart_actions"": 2}",,EUR,USA
SESS_10071,U_1021,"{""device"": ""iOS"", ""pages_viewed"": 17, ""cart_actions"": 4}",251.83,JPY,USA
SESS_10072,U_1063,"{""device"": ""Desktop"", ""pages_viewed"": 2, ""cart_actions"": 8}",142.63,,US
SESS_10073,U_1147,"{""device"": ""Web_Safari"", ""pages_viewed"": 23, ""cart_actions"": 5}",443.92,GBP,
SESS_10074,U_1130,"{""device"": ""Android"", ""pages_viewed"": 23, ""cart_actions"": 1}",34.46,USD,Germany
SESS_10075,U_1036,"{""device"": ""Desktop"", ""pages_viewed"": 7, ""cart_actions"": 2}",108.98,GBP,DE
SESS_10076,U_1032,"{""device"": null, ""pages_viewed"": 14, ""cart_actions"": 1}",128.39,USD,United Kingdom
SESS_10077,U_1116,"{""device"": ""iOS"", ""pages_viewed"": 9, ""cart_actions"": 6}",77.31,EUR,United States
SESS_10078,U_1161,"{""device"": ""Desktop"", ""pages_viewed"": 21, ""cart_actions"": 3}",260.18,USD,United Kingdom
SESS_10079,U_1039,"{""device"": ""Desktop"", ""pages_viewed"": 14, ""cart_actions"": 6}",,EUR,United States
SESS_10080,U_1069,"{""device"": ""iOS"", ""pages_viewed"": 18, ""cart_actions"": 1}",191.95,GBP,United States
SESS_10081,U_1092,"{""device"": ""Desktop"", ""pages_viewed"": 25, ""cart_actions"": 4}",362.17,EUR,USA
SESS_10082,U_1025,"{""device"": ""Web_Safari"", ""pages_viewed"": 8, ""cart_actions"": 6}",355.49,USD,US
SESS_10083,U_1134,"{""device"": ""Desktop"", ""pages_viewed"": 19, ""cart_actions"": 7}",,GBP,DE
SESS_10084,U_1141,"{""device"": ""Desktop"", ""pages_viewed"": 20, ""cart_actions"": 1}",89.28,JPY,US
SESS_10085,U_1088,"{""device"": null, ""pages_viewed"": 18, ""cart_actions"": 6}",70.49,USD,
SESS_10086,U_1182,"{""device"": ""Android"", ""pages_viewed"": 22, ""cart_actions"": 2}",261.89,EUR,USA
SESS_10087,U_1185,"{""device"": ""Desktop"", ""pages_viewed"": 23, ""cart_actions"": 3}",196.94,,US
SESS_10088,U_1112,"{""device"": ""Desktop"", ""pages_viewed"": 15, ""cart_actions"": 8}",429.39,EUR,DE
SESS_10089,U_1162,"{""device"": ""iOS"", ""pages_viewed"": 10, ""cart_actions"": 6}",382.68,USD,United States
SESS_10090,U_1186,"{""device"": ""Android"", ""pages_viewed"": 3, ""cart_actions"": 2}",51.79,EUR,
SESS_10091,U_1126,"{""device"": ""iOS"", ""pages_viewed"": 14, ""cart_actions"": 8}",74.35,,
SESS_10092,U_1175,"{""device"": null, ""pages_viewed"": 23, ""cart_actions"": 1}",283.08,USD,United Kingdom
SESS_10093,U_1179,"{""device"": null, ""pages_viewed"": 24, ""cart_actions"": 5}",336.46,USD,Japan
SESS_10094,U_1043,"{""device"": null, ""pages_viewed"": 8, ""cart_actions"": 2}",,USD,
SESS_10095,U_1090,"{""device"": ""iOS"", ""pages_viewed"": 14, ""cart_actions"": 7}",177.38,USD,UK
SESS_10096,U_1173,"{""device"": ""Android"", ""pages_viewed"": 18, ""cart_actions"": 1}",225.16,EUR,Germany
SESS_10097,U_1000,"{""device"": null, ""pages_viewed"": 13, ""cart_actions"": 3}",419.16,USD,Japan
SESS_10098,U_1158,"{""device"": ""Web_Safari"", ""pages_viewed"": 2, ""cart_actions"": 5}",,,UK
SESS_10099,U_1076,"{""device"": ""Desktop"", ""pages_viewed"": 4, ""cart_actions"": 0}",329.26,JPY,UK
SESS_10100,U_1002,"{""device"": ""iOS"", ""pages_viewed"": 14, ""cart_actions"": 7}",245.16,USD,United Kingdom
SESS_10101,U_1031,"{""device"": ""Web_Safari"", ""pages_viewed"": 1, ""cart_actions"": 2}",123.81,,United Kingdom
SESS_10102,U_1095,"{""device"": ""Desktop"", ""pages_viewed"": 12, ""cart_actions"": 6}",248.35,EUR,United States
SESS_10103,U_1112,"{""device"": ""Web_Safari"", ""pages_viewed"": 6, ""cart_actions"": 2}",203.77,GBP,Germany
SESS_10104,U_1028,"{""device"": ""Android"", ""pages_viewed"": 10, ""cart_actions"": 0}",198.16,GBP,USA
SESS_10105,U_1041,"{""device"": ""Android"", ""pages_viewed"": 16, ""cart_actions"": 4}",227.74,,US
SESS_10106,U_1083,"{""device"": ""Web_Safari"", ""pages_viewed"": 17, ""cart_actions"": 6}",431.59,USD,US
SESS_10107,U_1039,"{""device"": ""Desktop"", ""pages_viewed"": 17, ""cart_actions"": 0}",117.88,GBP,United Kingdom
SESS_10108,U_1152,"{""device"": ""iOS"", ""pages_viewed"": 14, ""cart_actions"": 7}",226.38,JPY,Germany
SESS_10109,U_1158,"{""device"": ""Android"", ""pages_viewed"": 24, ""cart_actions"": 8}",137.3,USD,DE
SESS_10110,U_1179,"{""device"": ""Android"", ""pages_viewed"": 22, ""cart_actions"": 6}",322.31,USD,
SESS_10111,U_1156,"{""device"": ""Android"", ""pages_viewed"": 7, ""cart_actions"": 2}",72.55,USD,DE
SESS_10112,U_1049,"{""device"": ""Android"", ""pages_viewed"": 14, ""cart_actions"": 0}",54.56,USD,United Kingdom
SESS_10113,U_1104,"{""device"": null, ""pages_viewed"": 10, ""cart_actions"": 3}",200.34,USD,
SESS_10114,U_1109,"{""device"": ""iOS"", ""pages_viewed"": 10, ""cart_actions"": 1}",137.04,GBP,United Kingdom
SESS_10115,U_1063,"{""device"": ""Desktop"", ""pages_viewed"": 2, ""cart_actions"": 2}",,USD,UK
SESS_10116,U_1054,"{""device"": ""Desktop"", ""pages_viewed"": 16, ""cart_actions"": 4}",58.83,USD,DE
SESS_10117,U_1125,"{""device"": ""Desktop"", ""pages_viewed"": 11, ""cart_actions"": 4}",305.99,USD,UK
SESS_10118,U_1092,"{""device"": ""Desktop"", ""pages_viewed"": 24, ""cart_actions"": 8}",118.64,EUR,Germany
SESS_10119,U_1149,"{""device"": ""Web_Safari"", ""pages_viewed"": 3, ""cart_actions"": 1}",338.03,USD,USA
SESS_10120,U_1150,"{""device"": ""Android"", ""pages_viewed"": 7, ""cart_actions"": 7}",47.57,GBP,DE
SESS_10121,U_1185,"{""device"": ""Web_Safari"", ""pages_viewed"": 25, ""cart_actions"": 3}",81.85,USD,Germany
SESS_10122,U_1107,"{""device"": null, ""pages_viewed"": 23, ""cart_actions"": 4}",345.32,GBP,UK
SESS_10123,U_1114,"{""device"": ""iOS"", ""pages_viewed"": 14, ""cart_actions"": 1}",242.84,USD,US
SESS_10124,U_1153,"{""device"": ""Desktop"", ""pages_viewed"": 23, ""cart_actions"": 2}",430.77,USD,Germany
SESS_10125,U_1189,"{""device"": ""Web_Safari"", ""pages_viewed"": 16, ""cart_actions"": 8}",437.62,USD,Japan
SESS_10126,U_1192,"{""device"": null, ""pages_viewed"": 13, ""cart_actions"": 8}",189.37,EUR,Germany
SESS_10127,U_1047,"{""device"": ""iOS"", ""pages_viewed"": 6, ""cart_actions"": 3}",18.85,,
SESS_10128,U_1181,"{""device"": null, ""pages_viewed"": 9, ""cart_actions"": 4}",143.92,EUR,
SESS_10129,U_1030,"{""device"": ""Android"", ""pages_viewed"": 8, ""cart_actions"": 0}",141.95,USD,DE
SESS_10130,U_1034,"{""device"": ""Desktop"", ""pages_viewed"": 2, ""cart_actions"": 3}",106.34,USD,USA
SESS_10131,U_1166,"{""device"": ""Desktop"", ""pages_viewed"": 21, ""cart_actions"": 5}",426.7,EUR,US
SESS_10132,U_1104,"{""device"": null, ""pages_viewed"": 10, ""cart_actions"": 5}",287.29,USD,UK
SESS_10133,U_1056,"{""device"": ""Desktop"", ""pages_viewed"": 6, ""cart_actions"": 4}",248.76,USD,United Kingdom
SESS_10134,U_1167,"{""device"": ""Desktop"", ""pages_viewed"": 21, ""cart_actions"": 8}",207.35,GBP,DE
SESS_10135,U_1052,"{""device"": null, ""pages_viewed"": 21, ""cart_actions"": 6}",115.8,JPY,UK
SESS_10136,U_1037,"{""device"": ""Web_Safari"", ""pages_viewed"": 3, ""cart_actions"": 7}",95.49,USD,Germany
SESS_10137,U_1145,"{""device"": ""Web_Safari"", ""pages_viewed"": 24, ""cart_actions"": 2}",24.16,USD,US
SESS_10138,U_1100,"{""device"": null, ""pages_viewed"": 7, ""cart_actions"": 1}",200.48,,United Kingdom
SESS_10139,U_1025,"{""device"": null, ""pages_viewed"": 5, ""cart_actions"": 0}",179.38,USD,United States
SESS_10140,U_1003,"{""device"": ""iOS"", ""pages_viewed"": 5, ""cart_actions"": 3}",131.43,USD,USA
SESS_10141,U_1027,"{""device"": null, ""pages_viewed"": 24, ""cart_actions"": 5}",51.96,USD,Japan
SESS_10142,U_1194,"{""device"": null, ""pages_viewed"": 15, ""cart_actions"": 2}",223.33,EUR,USA
SESS_10143,U_1139,"{""device"": ""Desktop"", ""pages_viewed"": 21, ""cart_actions"": 8}",373.84,USD,
SESS_10144,U_1075,"{""device"": ""iOS"", ""pages_viewed"": 17, ""cart_actions"": 6}",411.79,USD,Germany
SESS_10145,U_1109,"{""device"": ""Web_Safari"", ""pages_viewed"": 5, ""cart_actions"": 5}",113.26,JPY,United States
SESS_10146,U_1125,"{""device"": ""Android"", ""pages_viewed"": 4, ""cart_actions"": 3}",430.79,GBP,United States
SESS_10147,U_1157,"{""device"": ""Desktop"", ""pages_viewed"": 4, ""cart_actions"": 5}",415.15,USD,US
SESS_10148,U_1045,"{""device"": ""Web_Safari"", ""pages_viewed"": 17, ""cart_actions"": 5}",310.55,USD,DE
SESS_10149,U_1159,"{""device"": ""Desktop"", ""pages_viewed"": 12, ""cart_actions"": 1}",232.17,GBP,DE
SESS_10150,U_1182,"{""device"": ""iOS"", ""pages_viewed"": 1, ""cart_actions"": 2}",78.77,USD,United Kingdom
SESS_10151,U_1114,"{""device"": ""Web_Safari"", ""pages_viewed"": 3, ""cart_actions"": 1}",432.42,EUR,US
SESS_10152,U_1023,"{""device"": ""Desktop"", ""pages_viewed"": 5, ""cart_actions"": 2}",168.38,,United Kingdom
SESS_10153,U_1123,"{""device"": ""Web_Safari"", ""pages_viewed"": 20, ""cart_actions"": 5}",425.65,EUR,United Kingdom
SESS_10154,U_1107,"{""device"": null, ""pages_viewed"": 16, ""cart_actions"": 8}",246.63,EUR,United Kingdom
SESS_10155,U_1021,"{""device"": null, ""pages_viewed"": 23, ""cart_actions"": 6}",352.82,EUR,United States
SESS_10156,U_1060,"{""device"": ""Desktop"", ""pages_viewed"": 1, ""cart_actions"": 3}",22.46,,US
SESS_10157,U_1028,"{""device"": ""iOS"", ""pages_viewed"": 12, ""cart_actions"": 5}",392.05,USD,DE
SESS_10158,U_1117,"{""device"": ""Android"", ""pages_viewed"": 18, ""cart_actions"": 6}",375.1,USD,US
SESS_10159,U_1030,"{""device"": ""Android"", ""pages_viewed"": 13, ""cart_actions"": 0}",199.75,USD,United States
SESS_10160,U_1169,"{""device"": null, ""pages_viewed"": 3, ""cart_actions"": 7}",393.66,USD,US
SESS_10161,U_1093,"{""device"": ""Android"", ""pages_viewed"": 3, ""cart_actions"": 3}",,JPY,US
SESS_10162,U_1195,"{""device"": ""Android"", ""pages_viewed"": 16, ""cart_actions"": 2}",318.88,EUR,Japan
SESS_10163,U_1105,"{""device"": ""Desktop"", ""pages_viewed"": 15, ""cart_actions"": 0}",82.81,USD,US
SESS_10164,U_1128,"{""device"": ""Android"", ""pages_viewed"": 1, ""cart_actions"": 6}",310.76,,
SESS_10165,U_1182,"{""device"": ""Desktop"", ""pages_viewed"": 19, ""cart_actions"": 8}",113.88,USD,DE
SESS_10166,U_1023,"{""device"": null, ""pages_viewed"": 13, ""cart_actions"": 2}",189.18,USD,Germany
SESS_10167,U_1100,"{""device"": ""Android"", ""pages_viewed"": 24, ""cart_actions"": 8}",48.59,,Japan
SESS_10168,U_1080,"{""device"": ""Web_Safari"", ""pages_viewed"": 13, ""cart_actions"": 2}",,GBP,United Kingdom
SESS_10169,U_1049,"{""device"": ""Desktop"", ""pages_viewed"": 4, ""cart_actions"": 1}",,GBP,USA
SESS_10170,U_1061,"{""device"": ""Desktop"", ""pages_viewed"": 6, ""cart_actions"": 8}",107.18,USD,DE
SESS_10171,U_1048,"{""device"": null, ""pages_viewed"": 7, ""cart_actions"": 0}",51.99,USD,Japan
SESS_10172,U_1011,"{""device"": ""iOS"", ""pages_viewed"": 11, ""cart_actions"": 1}",18.69,GBP,DE
SESS_10173,U_1101,"{""device"": null, ""pages_viewed"": 7, ""cart_actions"": 5}",330.67,USD,United States
SESS_10174,U_1084,"{""device"": ""Web_Safari"", ""pages_viewed"": 24, ""cart_actions"": 8}",366.26,USD,USA
SESS_10175,U_1150,"{""device"": ""Web_Safari"", ""pages_viewed"": 16, ""cart_actions"": 0}",80.92,,United States
SESS_10176,U_1160,"{""device"": ""iOS"", ""pages_viewed"": 23, ""cart_actions"": 3}",366.25,USD,US
SESS_10177,U_1128,"{""device"": null, ""pages_viewed"": 24, ""cart_actions"": 8}",163.52,USD,UK
SESS_10178,U_1074,"{""device"": ""Desktop"", ""pages_viewed"": 20, ""cart_actions"": 6}",,JPY,Germany
SESS_10179,U_1053,"{""device"": null, ""pages_viewed"": 20, ""cart_actions"": 1}",261.6,,United States
SESS_10180,U_1003,"{""device"": ""Android"", ""pages_viewed"": 25, ""cart_actions"": 4}",436.49,USD,Japan
SESS_10181,U_1024,"{""device"": ""Web_Safari"", ""pages_viewed"": 11, ""cart_actions"": 2}",85.24,EUR,UK
SESS_10182,U_1090,"{""device"": ""iOS"", ""pages_viewed"": 3, ""cart_actions"": 2}",215.42,,DE
SESS_10183,U_1195,"{""device"": ""Web_Safari"", ""pages_viewed"": 21, ""cart_actions"": 2}",437.68,,USA
SESS_10184,U_1093,"{""device"": ""Desktop"", ""pages_viewed"": 13, ""cart_actions"": 6}",413.96,USD,Japan
SESS_10185,U_1093,"{""device"": null, ""pages_viewed"": 20, ""cart_actions"": 5}",311.76,,DE
SESS_10186,U_1174,"{""device"": ""iOS"", ""pages_viewed"": 20, ""cart_actions"": 0}",121.5,USD,US
SESS_10187,U_1026,"{""device"": ""Desktop"", ""pages_viewed"": 13, ""cart_actions"": 2}",386.42,EUR,United Kingdom
SESS_10188,U_1118,"{""device"": ""iOS"", ""pages_viewed"": 12, ""cart_actions"": 7}",247.78,,United States
SESS_10189,U_1021,"{""device"": ""Android"", ""pages_viewed"": 24, ""cart_actions"": 1}",416.28,JPY,Germany
SESS_10190,U_1102,"{""device"": ""Desktop"", ""pages_viewed"": 3, ""cart_actions"": 5}",277.9,EUR,Japan
SESS_10191,U_1029,"{""device"": ""Desktop"", ""pages_viewed"": 15, ""cart_actions"": 0}",427.61,USD,Germany
SESS_10192,U_1081,"{""device"": null, ""pages_viewed"": 2, ""cart_actions"": 6}",,GBP,United Kingdom
SESS_10193,U_1121,"{""device"": ""Android"", ""pages_viewed"": 2, ""cart_actions"": 3}",429.4,JPY,DE
SESS_10194,U_1064,"{""device"": ""Android"", ""pages_viewed"": 3, ""cart_actions"": 2}",,JPY,United States
SESS_10195,U_1076,"{""device"": ""Web_Safari"", ""pages_viewed"": 14, ""cart_actions"": 8}",403.49,USD,USA
SESS_10196,U_1023,"{""device"": ""Web_Safari"", ""pages_viewed"": 11, ""cart_actions"": 4}",166.94,JPY,Japan
SESS_10197,U_1121,"{""device"": null, ""pages_viewed"": 23, ""cart_actions"": 2}",205.0,JPY,USA
SESS_10198,U_1143,"{""device"": null, ""pages_viewed"": 7, ""cart_actions"": 1}",266.64,USD,UK
SESS_10199,U_1170,"{""device"": ""Desktop"", ""pages_viewed"": 1, ""cart_actions"": 2}",421.21,,UK
SESS_10200,U_1029,"{""device"": ""Web_Safari"", ""pages_viewed"": 9, ""cart_actions"": 8}",444.88,USD,Japan
SESS_10201,U_1163,"{""device"": null, ""pages_viewed"": 4, ""cart_actions"": 0}",440.88,JPY,
SESS_10202,U_1198,"{""device"": ""Android"", ""pages_viewed"": 20, ""cart_actions"": 6}",106.25,EUR,USA
SESS_10203,U_1094,"{""device"": ""Desktop"", ""pages_viewed"": 1, ""cart_actions"": 4}",233.41,USD,Japan
SESS_10204,U_1166,"{""device"": ""Web_Safari"", ""pages_viewed"": 14, ""cart_actions"": 6}",375.26,JPY,
SESS_10205,U_1195,"{""device"": ""Desktop"", ""pages_viewed"": 4, ""cart_actions"": 2}",177.31,USD,
SESS_10206,U_1111,"{""device"": ""Web_Safari"", ""pages_viewed"": 10, ""cart_actions"": 6}",320.41,USD,United States
SESS_10207,U_1026,"{""device"": ""iOS"", ""pages_viewed"": 21, ""cart_actions"": 0}",193.91,,
SESS_10208,U_1025,"{""device"": ""Web_Safari"", ""pages_viewed"": 17, ""cart_actions"": 0}",385.49,EUR,Germany
SESS_10209,U_1198,"{""device"": ""Web_Safari"", ""pages_viewed"": 18, ""cart_actions"": 6}",387.51,USD,UK
SESS_10210,U_1118,"{""device"": ""Web_Safari"", ""pages_viewed"": 21, ""cart_actions"": 6}",,GBP,Germany
SESS_10211,U_1129,"{""device"": ""Desktop"", ""pages_viewed"": 9, ""cart_actions"": 4}",407.66,JPY,Germany
SESS_10212,U_1001,"{""device"": ""Web_Safari"", ""pages_viewed"": 2, ""cart_actions"": 0}",,GBP,
SESS_10213,U_1189,"{""device"": null, ""pages_viewed"": 11, ""cart_actions"": 5}",263.9,JPY,Germany
SESS_10214,U_1142,"{""device"": ""Web_Safari"", ""pages_viewed"": 7, ""cart_actions"": 6}",363.58,JPY,US
SESS_10215,U_1162,"{""device"": ""Web_Safari"", ""pages_viewed"": 24, ""cart_actions"": 2}",153.38,USD,United Kingdom
SESS_10216,U_1059,"{""device"": ""iOS"", ""pages_viewed"": 23, ""cart_actions"": 2}",289.68,JPY,DE
SESS_10217,U_1141,"{""device"": ""Android"", ""pages_viewed"": 11, ""cart_actions"": 3}",,USD,United Kingdom
SESS_10218,U_1002,"{""device"": null, ""pages_viewed"": 5, ""cart_actions"": 0}",251.5,USD,United Kingdom
SESS_10219,U_1006,"{""device"": ""Android"", ""pages_viewed"": 15, ""cart_actions"": 5}",298.85,EUR,DE
SESS_10220,U_1049,"{""device"": null, ""pages_viewed"": 8, ""cart_actions"": 6}",301.78,EUR,United States
SESS_10221,U_1036,"{""device"": ""iOS"", ""pages_viewed"": 21, ""cart_actions"": 1}",418.33,USD,United States
SESS_10222,U_1036,"{""device"": ""Desktop"", ""pages_viewed"": 9, ""cart_actions"": 2}",,,UK
SESS_10223,U_1053,"{""device"": ""Web_Safari"", ""pages_viewed"": 4, ""cart_actions"": 7}",194.98,,United States
SESS_10224,U_1053,"{""device"": ""Web_Safari"", ""pages_viewed"": 13, ""cart_actions"": 5}",211.13,USD,US
SESS_10225,U_1076,"{""device"": ""iOS"", ""pages_viewed"": 6, ""cart_actions"": 0}",164.12,GBP,Japan
SESS_10226,U_1157,"{""device"": null, ""pages_viewed"": 18, ""cart_actions"": 0}",337.64,USD,Germany
SESS_10227,U_1155,"{""device"": ""iOS"", ""pages_viewed"": 18, ""cart_actions"": 0}",346.02,EUR,UK
